order_status,country,customer_type,year_month,net_revenue
Cancelled,Brasil,One-Time,2021-12-01,0.0
Cancelled,China,Repeat,2022-07-01,0.0
Cancelled,United States,Repeat,2024-01-01,0.0
Complete,China,Repeat,2020-04-01,2.67
Processing,China,One-Time,2023-08-01,2.67
Processing,China,Repeat,2023-10-01,2.67
Processing,Brasil,Repeat,2023-07-01,2.67
Processing,South Korea,Repeat,2021-02-01,2.67
Shipped,China,Repeat,2020-10-01,2.67
Shipped,South Korea,One-Time,2023-03-01,2.67
Shipped,China,One-Time,2023-05-01,2.67
Complete,United States,Repeat,2023-07-01,2.78
Complete,United States,One-Time,2023-12-01,2.78
Processing,China,Repeat,2023-03-01,2.78
Processing,China,Repeat,2023-06-01,2.78
Shipped,China,Repeat,2022-06-01,2.78
Shipped,United States,One-Time,2021-02-01,2.78
Shipped,Spain,Repeat,2022-11-01,2.8
Cancelled,Brasil,Repeat,2022-08-01,0.0
Cancelled,China,Repeat,2023-03-01,0.0
Cancelled,Brasil,One-Time,2021-04-01,0.0
Cancelled,Germany,Repeat,2023-04-01,0.0
Cancelled,United States,Repeat,2022-03-01,0.0
Cancelled,United States,One-Time,2022-02-01,0.0
Cancelled,China,Repeat,2021-12-01,0.0
Cancelled,Germany,Repeat,2023-11-01,0.0
Cancelled,Brasil,One-Time,2022-11-01,0.0
Cancelled,Brasil,Repeat,2023-10-01,0.0
Complete,China,Repeat,2024-01-01,2.95
Complete,Spain,Repeat,2023-04-01,2.95
Complete,France,Repeat,2023-06-01,2.95
Complete,United States,One-Time,2022-09-01,2.95
Complete,Australia,Repeat,,2.95
Complete,China,Repeat,2022-09-01,2.95
Complete,United Kingdom,One-Time,2023-11-01,2.95
Complete,Brasil,Repeat,2019-05-01,2.95
Complete,Brasil,Repeat,2023-03-01,2.95
Complete,China,Repeat,2023-10-01,2.95
Complete,Brasil,Repeat,2021-03-01,2.95
Complete,Spain,Repeat,2022-03-01,2.95
Complete,Brasil,Repeat,2021-08-01,2.95
Complete,United States,Repeat,2023-12-01,2.95
Complete,Australia,Repeat,2023-08-01,2.95
Complete,France,Repeat,2022-08-01,2.95
Complete,China,Repeat,2022-04-01,2.95
Complete,United Kingdom,Repeat,2023-09-01,2.95
Complete,Brasil,Repeat,2022-05-01,2.95
Complete,United Kingdom,Repeat,2022-09-01,2.95
Processing,China,Repeat,2023-11-01,2.95
Processing,China,Repeat,2023-06-01,2.95
Processing,Germany,Repeat,2022-12-01,2.95
Processing,United Kingdom,Repeat,2023-02-01,2.95
Processing,United States,Repeat,2021-12-01,2.95
Processing,France,Repeat,2022-03-01,2.95
Processing,Germany,Repeat,2022-11-01,2.95
Processing,United Kingdom,One-Time,2023-12-01,2.95
Processing,United States,One-Time,2021-05-01,2.95
Processing,China,Repeat,2023-06-01,2.95
Processing,South Korea,One-Time,2023-06-01,2.95
Processing,Japan,Repeat,2023-10-01,2.95
Processing,France,Repeat,2023-02-01,2.95
Processing,China,Repeat,2023-05-01,2.95
Processing,France,Repeat,2023-05-01,2.95
Processing,China,One-Time,2023-09-01,2.95
Processing,Brasil,Repeat,2024-01-01,2.95
Returned,China,Repeat,2022-12-01,0.0
Returned,United States,One-Time,2023-04-01,0.0
Returned,Germany,One-Time,2020-03-01,0.0
Returned,United States,Repeat,2023-12-01,0.0
Shipped,China,One-Time,2023-11-01,2.95
Shipped,United States,Repeat,2023-03-01,2.95
Shipped,United States,One-Time,2022-01-01,2.95
Shipped,Brasil,One-Time,2021-01-01,2.95
Shipped,South Korea,One-Time,2023-10-01,2.95
Shipped,Germany,One-Time,2023-02-01,2.95
Shipped,United States,Repeat,2024-01-01,2.95
Shipped,Brasil,One-Time,2021-10-01,2.95
Shipped,Brasil,One-Time,2021-11-01,2.95
Shipped,Germany,Repeat,,2.95
Shipped,China,Repeat,2020-11-01,2.95
Shipped,Brasil,Repeat,2023-01-01,2.95
Shipped,United States,Repeat,2020-07-01,2.95
Shipped,France,Repeat,2023-04-01,2.95
Shipped,United States,Repeat,2023-11-01,2.95
Shipped,France,Repeat,2021-07-01,2.95
Cancelled,China,One-Time,,0.0
Cancelled,United States,Repeat,2023-12-01,0.0
Cancelled,China,One-Time,2023-06-01,0.0
Cancelled,Brasil,Repeat,2023-05-01,0.0
Cancelled,United States,One-Time,2023-12-01,0.0
Cancelled,Brasil,Repeat,2021-09-01,0.0
Cancelled,Brasil,Repeat,2022-05-01,0.0
Cancelled,Brasil,One-Time,2022-01-01,0.0
Cancelled,China,One-Time,2021-05-01,0.0
Cancelled,China,One-Time,2021-04-01,0.0
Cancelled,China,Repeat,2022-08-01,0.0
Complete,United States,Repeat,2020-12-01,2.99
Complete,United Kingdom,Repeat,2023-11-01,2.99
Complete,Brasil,One-Time,2021-02-01,2.99
Complete,China,One-Time,2020-07-01,2.99
Complete,China,Repeat,2022-05-01,2.99
Complete,China,One-Time,2022-03-01,2.99
Complete,Australia,Repeat,2023-07-01,2.99
Complete,United States,Repeat,2024-01-01,2.99
Complete,Germany,One-Time,2023-05-01,2.99
Complete,China,Repeat,2019-12-01,2.99
Processing,China,One-Time,2021-12-01,2.99
Processing,Spain,One-Time,2023-05-01,2.99
Processing,United States,Repeat,2019-12-01,2.99
Processing,Brasil,Repeat,2021-10-01,2.99
Processing,Germany,Repeat,2023-02-01,2.99
Processing,Brasil,Repeat,2022-11-01,2.99
Processing,United States,Repeat,2020-06-01,2.99
Processing,Brasil,Repeat,2022-09-01,2.99
Processing,China,Repeat,2020-11-01,2.99
Processing,South Korea,One-Time,2023-08-01,2.99
Processing,Germany,Repeat,2020-01-01,2.99
Processing,China,One-Time,2023-08-01,2.99
Returned,China,Repeat,2023-11-01,0.0
Returned,China,One-Time,2023-10-01,0.0
Returned,China,Repeat,2021-12-01,0.0
Returned,Brasil,One-Time,2023-10-01,0.0
Shipped,China,Repeat,2022-11-01,2.99
Shipped,China,Repeat,2023-12-01,2.99
Shipped,China,Repeat,2021-09-01,2.99
Shipped,Brasil,One-Time,2019-10-01,2.99
Shipped,Japan,Repeat,2020-09-01,2.99
Shipped,Japan,One-Time,2023-07-01,2.99
Shipped,Germany,One-Time,2021-05-01,2.99
Shipped,United States,Repeat,2023-06-01,2.99
Shipped,United States,Repeat,2023-12-01,2.99
Shipped,Brasil,One-Time,2023-04-01,2.99
Shipped,China,Repeat,2023-12-01,2.99
Shipped,China,One-Time,2023-04-01,2.99
Shipped,United States,Repeat,2021-05-01,2.99
Shipped,China,One-Time,2022-05-01,2.99
Cancelled,China,Repeat,2023-10-01,0.0
Complete,South Korea,Repeat,2023-12-01,3.0
Complete,United Kingdom,One-Time,2024-01-01,3.0
Complete,China,Repeat,2019-12-01,3.0
Processing,Japan,Repeat,2023-10-01,3.0
Returned,Brasil,Repeat,2022-07-01,0.0
Returned,China,One-Time,2023-04-01,0.0
Shipped,South Korea,Repeat,2023-11-01,3.0
Cancelled,China,Repeat,2020-12-01,0.0
Cancelled,United States,Repeat,2022-07-01,0.0
Complete,France,Repeat,2020-05-01,3.09
Processing,Brasil,Repeat,2022-08-01,3.09
Processing,China,Repeat,2023-02-01,3.09
Processing,China,One-Time,2023-07-01,3.09
Processing,China,Repeat,2019-08-01,3.09
Shipped,China,One-Time,2021-05-01,3.09
Shipped,South Korea,Repeat,2023-11-01,3.09
Cancelled,United States,Repeat,2023-07-01,0.0
Cancelled,South Korea,One-Time,2023-05-01,0.0
Complete,United States,Repeat,2022-04-01,3.11
Shipped,South Korea,Repeat,2020-04-01,3.11
Shipped,United States,Repeat,2023-08-01,3.11
Cancelled,Spain,One-Time,2023-07-01,0.0
Cancelled,Spain,One-Time,2020-10-01,0.0
Cancelled,Brasil,Repeat,2023-01-01,0.0
Processing,Brasil,One-Time,2020-09-01,3.17
Processing,United Kingdom,Repeat,2022-06-01,3.17
Shipped,South Korea,Repeat,2023-11-01,3.17
Shipped,China,Repeat,2021-03-01,3.17
Shipped,Spain,Repeat,2022-05-01,3.17
Shipped,China,Repeat,2021-11-01,3.17
Shipped,Japan,Repeat,2022-12-01,3.17
Shipped,United States,Repeat,2020-11-01,3.17
Shipped,United States,Repeat,2023-11-01,3.17
Shipped,China,Repeat,2021-01-01,3.17
Cancelled,Germany,Repeat,2023-10-01,0.0
Processing,Germany,Repeat,2020-10-01,3.2
Returned,China,One-Time,2022-01-01,0.0
Returned,United Kingdom,Repeat,2023-10-01,0.0
Returned,China,Repeat,2023-03-01,0.0
Shipped,China,Repeat,2023-03-01,3.2
Shipped,Japan,Repeat,2022-12-01,3.2
Complete,Belgium,One-Time,2023-06-01,3.25
Processing,Brasil,One-Time,2023-02-01,3.25
Processing,United States,One-Time,2023-11-01,3.25
Shipped,Brasil,Repeat,2022-08-01,3.25
Complete,China,One-Time,2021-02-01,3.28
Processing,China,One-Time,2021-01-01,3.28
Shipped,South Korea,Repeat,2021-11-01,3.28
Shipped,Germany,Repeat,2022-07-01,3.28
Shipped,Brasil,Repeat,2019-11-01,3.28
Cancelled,China,One-Time,2023-09-01,0.0
Complete,Australia,Repeat,2020-04-01,3.29
Complete,China,One-Time,2023-10-01,3.29
Complete,United States,One-Time,2023-07-01,3.29
Complete,Brasil,Repeat,2022-03-01,3.29
Processing,Brasil,Repeat,2023-11-01,3.29
Processing,Brasil,One-Time,2021-01-01,3.29
Returned,Brasil,One-Time,,0.0
Shipped,China,Repeat,2022-03-01,3.29
Shipped,France,Repeat,2023-12-01,3.29
Shipped,Brasil,One-Time,2020-09-01,3.29
Shipped,Germany,One-Time,2021-10-01,3.29
Shipped,Brasil,Repeat,2022-09-01,3.29
Complete,China,Repeat,2022-10-01,3.37
Complete,United States,One-Time,2023-09-01,3.37
Processing,China,One-Time,2022-02-01,3.37
Processing,France,Repeat,2023-12-01,3.37
Processing,China,One-Time,2023-11-01,3.37
Returned,Brasil,One-Time,2023-04-01,0.0
Cancelled,Spain,One-Time,2019-09-01,0.0
Complete,China,One-Time,2020-09-01,3.39
Complete,United States,One-Time,2019-07-01,3.39
Processing,China,Repeat,2022-10-01,3.39
Processing,China,One-Time,2023-07-01,3.39
Returned,South Korea,Repeat,2023-02-01,0.0
Returned,Spain,Repeat,2023-09-01,0.0
Shipped,United Kingdom,Repeat,2023-08-01,3.39
Shipped,China,Repeat,2023-07-01,3.39
Shipped,United States,Repeat,2024-01-01,3.39
Shipped,United States,Repeat,2022-02-01,3.39
Shipped,France,One-Time,2019-09-01,3.39
Cancelled,Brasil,One-Time,2023-11-01,0.0
Complete,China,One-Time,2023-12-01,3.4
Complete,Brasil,One-Time,2023-07-01,3.4
Complete,Brasil,Repeat,2023-02-01,3.4
Processing,China,One-Time,2023-04-01,3.4
Returned,Germany,Repeat,2023-09-01,0.0
Returned,United States,One-Time,2022-07-01,0.0
Shipped,China,One-Time,2023-10-01,3.4
Shipped,China,One-Time,2022-03-01,3.4
Shipped,Australia,One-Time,2023-11-01,3.4
Shipped,China,One-Time,,3.4
Shipped,United States,Repeat,2023-10-01,3.4
Cancelled,United States,Repeat,2023-05-01,0.0
Processing,China,One-Time,2022-07-01,3.46
Processing,United States,One-Time,2020-03-01,3.46
Processing,China,One-Time,2023-11-01,3.48
Processing,China,One-Time,2023-05-01,3.48
Shipped,United States,Repeat,2022-08-01,3.48
Cancelled,China,One-Time,2022-02-01,0.0
Cancelled,Germany,One-Time,2022-11-01,0.0
Cancelled,China,Repeat,2021-02-01,0.0
Complete,United States,One-Time,2023-12-01,3.5
Complete,Brasil,One-Time,2023-08-01,3.5
Complete,France,Repeat,2022-03-01,3.5
Complete,France,Repeat,2022-02-01,3.5
Complete,Brasil,One-Time,2023-10-01,3.5
Complete,United States,Repeat,2023-09-01,3.5
Complete,Brasil,Repeat,2023-12-01,3.5
Complete,Brasil,Repeat,2024-01-01,3.5
Processing,Spain,One-Time,2023-05-01,3.5
Processing,United States,Repeat,2023-12-01,3.5
Processing,Spain,One-Time,2023-12-01,3.5
Processing,United States,Repeat,2023-10-01,3.5
Processing,United States,One-Time,2022-04-01,3.5
Processing,China,One-Time,2022-09-01,3.5
Processing,China,Repeat,2022-10-01,3.5
Processing,South Korea,Repeat,2021-06-01,3.5
Processing,China,Repeat,2022-05-01,3.5
Returned,France,Repeat,2020-10-01,0.0
Returned,China,Repeat,2023-10-01,0.0
Shipped,Germany,One-Time,,3.5
Shipped,Brasil,Repeat,2021-12-01,3.5
Shipped,United States,Repeat,2023-11-01,3.5
Shipped,United States,Repeat,2023-07-01,3.5
Shipped,Spain,One-Time,2021-06-01,3.5
Shipped,China,Repeat,2023-01-01,3.5
Shipped,China,One-Time,2022-12-01,3.5
Shipped,Germany,One-Time,2023-08-01,3.5
Shipped,United Kingdom,One-Time,2022-12-01,3.5
Shipped,China,One-Time,2022-02-01,3.5
Complete,United States,One-Time,2023-10-01,3.6
Processing,United States,Repeat,2024-01-01,3.6
Cancelled,China,One-Time,2023-01-01,0.0
Cancelled,France,Repeat,2023-11-01,0.0
Complete,Brasil,Repeat,2022-10-01,3.67
Complete,Brasil,One-Time,2023-10-01,3.67
Complete,China,Repeat,2023-02-01,3.67
Returned,United States,Repeat,2022-07-01,0.0
Shipped,China,Repeat,2024-01-01,3.67
Cancelled,United States,Repeat,2023-03-01,0.0
Complete,South Korea,Repeat,2023-04-01,3.7
Complete,China,One-Time,2023-08-01,3.7
Processing,China,Repeat,2021-10-01,3.7
Processing,China,One-Time,2023-01-01,3.7
Shipped,Spain,One-Time,2021-04-01,3.7
Cancelled,Brasil,Repeat,2022-05-01,0.0
Cancelled,China,Repeat,2023-09-01,0.0
Complete,United States,One-Time,2023-12-01,3.75
Complete,Germany,Repeat,2020-10-01,3.75
Processing,Spain,Repeat,2022-07-01,3.75
Returned,South Korea,One-Time,2021-11-01,0.0
Shipped,China,Repeat,2023-08-01,3.75
Shipped,Brasil,Repeat,2024-01-01,3.75
Cancelled,United States,Repeat,,0.0
Cancelled,China,Repeat,2022-11-01,0.0
Cancelled,United States,One-Time,2023-10-01,0.0
Complete,Brasil,Repeat,2022-03-01,3.8
Complete,Spain,One-Time,2021-09-01,3.8
Complete,United States,Repeat,2021-12-01,3.8
Processing,Australia,Repeat,2021-12-01,3.8
Processing,Brasil,Repeat,2021-08-01,3.8
Processing,United Kingdom,One-Time,2023-07-01,3.8
Processing,Japan,One-Time,2024-01-01,3.8
Processing,Germany,One-Time,2021-11-01,3.8
Processing,China,One-Time,2023-03-01,3.8
Returned,China,Repeat,2023-11-01,0.0
Returned,China,Repeat,2023-09-01,0.0
Returned,Brasil,Repeat,2023-11-01,0.0
Shipped,Germany,Repeat,,3.8
Shipped,China,Repeat,2023-06-01,3.8
Shipped,Brasil,One-Time,2022-04-01,3.8
Cancelled,United States,Repeat,2023-12-01,0.0
Processing,China,Repeat,2019-05-01,3.88
Cancelled,United Kingdom,Repeat,2023-10-01,0.0
Cancelled,Spain,One-Time,2020-08-01,0.0
Complete,China,Repeat,2023-11-01,3.9
Processing,Spain,Repeat,2020-02-01,3.9
Processing,United Kingdom,Repeat,2024-01-01,3.9
Processing,China,Repeat,2019-12-01,3.9
Shipped,Belgium,Repeat,2023-04-01,3.9
Shipped,United States,Repeat,2023-07-01,3.9
Shipped,South Korea,One-Time,2023-07-01,3.9
Cancelled,Brasil,One-Time,2023-11-01,0.0
Cancelled,Spain,One-Time,2023-08-01,0.0
Cancelled,China,One-Time,2023-08-01,0.0
Cancelled,Australia,Repeat,2023-02-01,0.0
Cancelled,United States,One-Time,2022-04-01,0.0
Cancelled,China,Repeat,2022-05-01,0.0
Cancelled,United States,Repeat,2021-09-01,0.0
Complete,United States,Repeat,2023-02-01,3.95
Complete,Germany,One-Time,2022-08-01,3.95
Complete,Brasil,Repeat,2024-01-01,3.95
Complete,France,Repeat,2023-12-01,3.95
Complete,South Korea,One-Time,2023-02-01,3.95
Processing,United States,Repeat,2022-10-01,3.95
Processing,United States,One-Time,2022-08-01,3.95
Processing,South Korea,One-Time,2022-12-01,3.95
Processing,China,Repeat,2023-08-01,3.95
Processing,United States,One-Time,2023-11-01,3.95
Processing,China,Repeat,2023-11-01,3.95
Processing,China,Repeat,2021-08-01,3.95
Processing,China,Repeat,2019-07-01,3.95
Returned,China,Repeat,2024-01-01,0.0
Shipped,Spain,Repeat,2022-05-01,3.95
Shipped,South Korea,Repeat,2022-05-01,3.95
Shipped,United States,Repeat,2024-01-01,3.95
Shipped,United States,Repeat,2022-09-01,3.95
Shipped,China,Repeat,2022-03-01,3.95
Shipped,South Korea,Repeat,2023-07-01,3.95
Shipped,Brasil,One-Time,2023-01-01,3.95
Shipped,Germany,One-Time,2020-02-01,3.95
Processing,Brasil,Repeat,2023-12-01,3.98
Processing,China,Repeat,2023-03-01,3.98
Processing,Germany,Repeat,2023-12-01,3.98
Shipped,United States,Repeat,2023-05-01,3.98
Shipped,Brasil,Repeat,,3.98
Shipped,Spain,Repeat,2023-11-01,3.98
Cancelled,Brasil,Repeat,2023-04-01,0.0
Cancelled,Brasil,Repeat,2024-01-01,0.0
Cancelled,China,Repeat,2023-04-01,0.0
Cancelled,China,One-Time,2023-02-01,0.0
Cancelled,United Kingdom,Repeat,2021-11-01,0.0
Cancelled,United Kingdom,One-Time,2020-09-01,0.0
Cancelled,China,One-Time,2023-03-01,0.0
Cancelled,Germany,Repeat,2022-06-01,0.0
Cancelled,China,Repeat,2022-08-01,0.0
Cancelled,United States,Repeat,2023-12-01,0.0
Cancelled,United Kingdom,Repeat,2023-09-01,0.0
Cancelled,United States,One-Time,2023-08-01,0.0
Cancelled,United States,One-Time,2023-10-01,0.0
Cancelled,United States,One-Time,2023-09-01,0.0
Cancelled,United States,Repeat,2023-03-01,0.0
Complete,United States,Repeat,2023-01-01,3.99
Complete,France,One-Time,2021-03-01,3.99
Complete,United Kingdom,Repeat,2019-10-01,3.99
Complete,Brasil,Repeat,2022-09-01,3.99
Complete,Japan,Repeat,2023-01-01,3.99
Complete,Spain,Repeat,2022-10-01,3.99
Complete,France,One-Time,2021-08-01,3.99
Complete,United Kingdom,Repeat,2022-08-01,3.99
Complete,China,Repeat,2024-01-01,3.99
Complete,Germany,Repeat,2022-12-01,3.99
Complete,China,One-Time,2023-08-01,3.99
Complete,Brasil,Repeat,2022-10-01,3.99
Complete,China,Repeat,2022-02-01,3.99
Complete,United States,Repeat,2021-11-01,3.99
Complete,China,Repeat,2023-04-01,3.99
Complete,Australia,Repeat,2022-01-01,3.99
Complete,Japan,Repeat,2020-09-01,3.99
Complete,France,One-Time,2023-07-01,3.99
Complete,China,One-Time,2022-10-01,3.99
Complete,China,Repeat,2021-11-01,3.99
Complete,Germany,Repeat,2022-04-01,3.99
Complete,United States,Repeat,2023-07-01,3.99
Complete,China,Repeat,2023-03-01,3.99
Complete,China,One-Time,2021-11-01,3.99
Complete,United States,One-Time,2022-12-01,3.99
Complete,China,Repeat,2022-10-01,3.99
Complete,United States,Repeat,2021-05-01,3.99
Complete,South Korea,One-Time,2021-11-01,3.99
Complete,Japan,One-Time,2022-06-01,3.99
Complete,United States,Repeat,2022-11-01,3.99
Complete,United States,Repeat,2022-04-01,3.99
Processing,Brasil,One-Time,2021-07-01,3.99
Processing,China,One-Time,2020-09-01,3.99
Processing,South Korea,One-Time,2023-10-01,3.99
Processing,United States,Repeat,2023-12-01,3.99
Processing,South Korea,Repeat,2021-04-01,3.99
Processing,United States,Repeat,2019-10-01,3.99
Processing,United States,Repeat,2023-10-01,3.99
Processing,Brasil,One-Time,2022-05-01,3.99
Processing,China,Repeat,2023-06-01,3.99
Processing,Brasil,Repeat,2023-05-01,3.99
Processing,United Kingdom,One-Time,2023-09-01,3.99
Processing,Brasil,Repeat,2021-02-01,3.99
Processing,United States,Repeat,2022-06-01,3.99
Processing,China,Repeat,2022-09-01,3.99
Processing,United States,Repeat,2023-10-01,3.99
Processing,United States,Repeat,2023-05-01,3.99
Processing,South Korea,One-Time,2023-03-01,3.99
Processing,China,Repeat,,3.99
Processing,United Kingdom,Repeat,2022-11-01,3.99
Processing,United States,One-Time,2024-01-01,3.99
Processing,United States,Repeat,2022-06-01,3.99
Returned,China,One-Time,2023-06-01,0.0
Returned,Spain,Repeat,2022-06-01,0.0
Returned,United States,Repeat,2023-10-01,0.0
Returned,Spain,Repeat,2023-12-01,0.0
Shipped,United States,Repeat,2021-01-01,3.99
Shipped,United States,Repeat,2023-08-01,3.99
Shipped,United States,Repeat,2020-09-01,3.99
Shipped,Brasil,Repeat,2023-10-01,3.99
Shipped,United States,Repeat,2022-03-01,3.99
Shipped,China,Repeat,2022-08-01,3.99
Shipped,China,Repeat,2023-05-01,3.99
Shipped,United States,Repeat,2023-11-01,3.99
Shipped,China,One-Time,2023-08-01,3.99
Shipped,China,Repeat,2022-07-01,3.99
Shipped,Germany,One-Time,2022-07-01,3.99
Shipped,Spain,Repeat,2023-03-01,3.99
Shipped,United States,Repeat,2023-09-01,3.99
Shipped,China,One-Time,2022-08-01,3.99
Shipped,United States,Repeat,2024-01-01,3.99
Shipped,Japan,Repeat,2022-06-01,3.99
Shipped,Brasil,Repeat,2022-08-01,3.99
Shipped,Spain,Repeat,2024-01-01,3.99
Shipped,United States,Repeat,2024-01-01,3.99
Shipped,Spain,One-Time,2021-11-01,3.99
Shipped,China,Repeat,2020-11-01,3.99
Shipped,China,One-Time,2021-03-01,3.99
Shipped,China,Repeat,2021-08-01,3.99
Shipped,United States,One-Time,2022-04-01,3.99
Shipped,China,Repeat,2023-10-01,3.99
Shipped,Brasil,Repeat,2022-07-01,3.99
Shipped,United States,Repeat,2023-11-01,3.99
Shipped,China,One-Time,2023-05-01,3.99
Cancelled,Brasil,Repeat,2022-10-01,0.0
Complete,Brasil,Repeat,2023-07-01,4.0
Processing,Brasil,Repeat,2023-05-01,4.0
Shipped,China,One-Time,2023-09-01,4.0
Shipped,South Korea,One-Time,2022-08-01,4.0
Shipped,China,Repeat,2023-09-01,4.0
Shipped,France,One-Time,2023-07-01,4.0
Cancelled,China,Repeat,2019-11-01,0.0
Returned,China,One-Time,,0.0
Returned,China,Repeat,2023-01-01,0.0
Shipped,United States,Repeat,2022-01-01,4.01
Shipped,Brasil,One-Time,2021-09-01,4.01
Shipped,Germany,Repeat,2022-06-01,4.01
Cancelled,Australia,Repeat,2022-11-01,0.0
Complete,South Korea,Repeat,2023-11-01,4.04
Complete,China,One-Time,2024-01-01,4.04
Returned,United States,Repeat,2021-12-01,0.0
Shipped,China,Repeat,2023-09-01,4.04
Complete,Germany,Repeat,2023-10-01,4.08
Shipped,United States,Repeat,2023-10-01,4.08
Shipped,Brasil,One-Time,2022-02-01,4.08
Complete,United States,Repeat,2023-12-01,4.1
Complete,United States,Repeat,2023-07-01,4.1
Shipped,United States,Repeat,2023-11-01,4.1
Cancelled,China,One-Time,,0.0
Complete,Brasil,One-Time,2021-03-01,4.11
Processing,United States,Repeat,2023-10-01,4.11
Processing,United States,Repeat,2023-12-01,4.11
Processing,China,One-Time,2023-08-01,4.11
Shipped,Brasil,One-Time,2023-12-01,4.11
Shipped,Brasil,Repeat,2024-01-01,4.11
Cancelled,Spain,Repeat,2024-01-01,0.0
Cancelled,Germany,One-Time,2022-07-01,0.0
Cancelled,China,Repeat,2021-08-01,0.0
Cancelled,South Korea,One-Time,2022-05-01,0.0
Complete,United Kingdom,Repeat,,4.13
Complete,United States,Repeat,2022-06-01,4.13
Complete,United States,One-Time,2023-01-01,4.13
Processing,United States,One-Time,2021-06-01,4.13
Returned,United States,Repeat,2023-09-01,0.0
Returned,United States,Repeat,2021-03-01,0.0
Shipped,China,Repeat,2020-07-01,4.13
Shipped,China,Repeat,,4.13
Shipped,United States,One-Time,2023-09-01,4.13
Shipped,China,One-Time,2022-07-01,4.13
Shipped,France,One-Time,2022-08-01,4.13
